Year,Month,Day,Period,1
2016,7,2,13,9.2306179
2016,7,2,14,8.12365815
2016,7,2,15,7.5568901
2016,7,2,16,7.916632
2016,7,2,17,9.71274565
2016,7,2,18,15.04141115
2016,7,2,19,21.0589465
2016,7,2,20,26.43265185
2016,7,2,21,31.9636378
2016,7,2,22,37.6313796
2016,7,2,23,42.45915375
2016,7,2,24,47.04556875
2016,7,3,1,50.4405662
2016,7,3,2,52.75126505
2016,7,3,3,53.9672169
2016,7,3,4,54.41479965
2016,7,3,5,54.41287365
2016,7,3,6,54.1219226
2016,7,3,7,53.79670975
2016,7,3,8,53.3307931
2016,7,3,9,50.4999016
2016,7,3,10,41.47366135
2016,7,3,11,32.2764787
2016,7,3,12,29.86795865
2016,7,3,13,29.72728525
2016,7,3,14,29.8406614
2016,7,3,15,31.34559435
2016,7,3,16,34.3155246
2016,7,3,17,37.71748095
2016,7,3,18,42.86592225
2016,7,3,19,47.99619365
2016,7,3,20,51.640695
2016,7,3,21,53.0953431
2016,7,3,22,52.87006465
2016,7,3,23,51.9089041
2016,7,3,24,51.4739614
2016,7,4,1,51.0161303
2016,7,4,2,49.6374688
2016,7,4,3,48.31326415
2016,7,4,4,47.27776775
2016,7,4,5,46.8218482
2016,7,4,6,46.77121365
2016,7,4,7,47.98457145
2016,7,4,8,49.78662145
2016,7,4,9,49.8379097
2016,7,4,10,44.8697454
2016,7,4,11,40.81324815
2016,7,4,12,41.69492625
2016,7,4,13,43.5401325
2016,7,4,14,44.7649869
2016,7,4,15,45.9009442
2016,7,4,16,47.4687644
2016,7,4,17,49.0031654
2016,7,4,18,51.1652101
2016,7,4,19,54.10176435
2016,7,4,20,55.6474651
2016,7,4,21,56.1937132
2016,7,4,22,56.2863318
2016,7,4,23,56.41008675
2016,7,4,24,56.28096835
2016,7,5,1,56.4058283
2016,7,5,2,56.51444435
2016,7,5,3,56.48357765
2016,7,5,4,56.14770835
2016,7,5,5,55.7212393
2016,7,5,6,55.3547633
2016,7,5,7,54.3609085
2016,7,5,8,53.2824142
2016,7,5,9,50.7964481
2016,7,5,10,45.18827135
2016,7,5,11,39.67940005
2016,7,5,12,37.83202455
2016,7,5,13,37.3806083
2016,7,5,14,36.32427665
2016,7,5,15,34.4097763
2016,7,5,16,32.15586435
2016,7,5,17,30.3437164
2016,7,5,18,32.75971865
2016,7,5,19,37.86266485
2016,7,5,20,41.52878635
2016,7,5,21,43.74142555
2016,7,5,22,44.70505695
2016,7,5,23,45.27065355
2016,7,5,24,45.9380329
2016,7,6,1,46.69461095
2016,7,6,2,47.05022325
2016,7,6,3,46.88774885
2016,7,6,4,46.1432395
2016,7,6,5,45.08353045
2016,7,6,6,43.70609955
2016,7,6,7,42.13996685
